bucket,confidence,cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,due_plus_30_grace,initial_matrix_status,initial_matrix_publication_date,initial_matrix_source,current_review_status,current_evidence_url,current_evidence_type,current_evidence_excerpt,committed_current_sec_status,committed_current_sec_found_date,committed_current_sec_found_url,committed_wayback_status,committed_wayback_found_date,committed_wayback_found_url,committed_fts_status,review_reason,review_notes
no_release_found_after_checks,medium,1720671,,"HashiCorp, Inc.",2021-12-09,2022-12-09,2023-01-08,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Web search for HashiCorp plus Board Diversity Matrix returned aggregate/third-party and other-company references, not a primary HashiCorp matrix."
no_release_found_after_checks,medium,1868734,,"CinCor Pharma, Inc.",2022-01-07,2023-01-07,2023-02-06,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Search results reviewed; apparent matrix hits were other companies filings mentioning CinCor directors, not a CinCor Pharma primary-source board diversity matrix."
no_release_found_after_checks,medium,1861657,CNTN,"Canton Strategic Holdings, Inc.",2022-01-12,2023-01-12,2023-02-11,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",Search results reviewed; found Canton Strategic news/SEC current material but no primary-source Board Diversity Matrix disclosure.
no_release_found_after_checks,medium,1777319,CISO,"CISO Global, Inc.",2022-01-18,2023-01-18,2023-02-17,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",Search results reviewed for CISO Global/Cerberus Cyber Sentinel; results were third-party aggregate references or filings without a board diversity matrix for the required period.
no_release_found_after_checks,medium,1872964,MTEK,Maris Tech Ltd.,2022-02-02,2023-02-02,2023-03-04,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Search results reviewed for Maris-Tech Ltd.; apparent hits were other companies filings or press pages mentioning Maris-Tech, not a Maris-Tech primary-source board diversity matrix."
no_release_found_after_checks,medium,1872812,,TC BioPharm (Holdings) plc,2022-02-11,2023-02-11,2023-03-13,not_located,,,searched_no_substantive_matrix,https://d1io3yog0oux5.cloudfront.net/_6df6912d78757007d7d89ae672512318/tcbiopharm/db/867/7501/file/NASDAQ+Diversity+Matrix+Disclosure+3rd+April+2023.pdf,issuer PDF template,"Board Diversity Matrix for / As of / Total Number of Directors, with no company/date/count values extracted.",not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Issuer governance page linked a Board Diversity Matrix PDF, but local PDF text extraction showed a blank/template matrix without substantive company/date/director values; not inserted as evidence."
no_release_found_after_checks,medium,1851860,,"SMART FOR LIFE, INC.",2022-02-16,2023-02-16,2023-03-18,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Search and SEC submissions checked; likely 2023 proxy, 2023 10-K, and 2024 10-K did not contain Board Diversity Matrix text."
no_release_found_after_checks,medium,1402328,SBFM,Sunshine Biopharma Inc.,2022-02-17,2023-02-17,2023-03-19,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",Search and SEC submissions checked; likely 2023/2024 proxy and 2023 10-K filings did not contain Board Diversity Matrix text.
no_release_found_after_checks,medium,1888014,AKAN,AKANDA CORP.,2022-03-15,2023-03-15,2023-04-14,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Search and SEC submissions checked; Akanda 2023, 2024, and 2025 20-F filings did not contain Board Diversity Matrix text. Third-party aggregate only."
no_release_found_after_checks,medium,1905511,JCSE,JE Cleantech Holdings Ltd,2022-04-22,2023-04-22,2023-05-22,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Search and SEC submissions checked; JE Cleantech 2023 20-F did not contain Board Diversity Matrix text. Search hit mentioning JE Cleantech was another issuer filing, not JE Cleantech primary evidence."
no_release_found_after_checks,medium,1849296,OKYO,OKYO Pharma Ltd,2022-05-17,2023-05-17,2023-06-16,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",Search and SEC submissions checked; OKYO Pharma 2023 and 2024 20-F filings did not contain Board Diversity Matrix text. Other hits were about related-party holdings or other issuer matrices.
no_release_found_after_checks,medium,1468492,HSCS,HeartSciences Inc.,2022-06-15,2023-06-15,2023-07-15,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Searched web and issuer site; checked HeartSciences current site/investors page and SEC 2023 DEF 14A, 2024 DEF 14A, 2023/2024/2025 10-Ks surfaced in SEC submissions; no substantive Board Diversity Matrix located. Search hit was another issuer filing mentioning HeartSciences in a director biography."
no_release_found_after_checks,medium,1816319,LYTHF,Lytus Technologies Holdings PTV. Ltd.,2022-06-15,2023-06-15,2023-07-15,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Searched web and issuer site; checked Lytus current site, IR governance page, 2023/2024/2025 20-Fs, and IR Foreign Board Diversity Matrix PDF. PDF is a blank Nasdaq template with headings but no company/date/director counts, so no substantive matrix evidence located."
no_release_found_after_checks,medium,1885827,VRAX,Virax Biolabs Group Ltd,2022-07-21,2023-07-21,2023-08-20,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Searched web and issuer/current sites; checked Virax current site/investor URL attempts, Can-Fite related-site pages, 2023/2024/2025 20-Fs, and proxy/AGM 6-K filings from 2023-2026 surfaced in SEC submissions; no substantive Board Diversity Matrix located. Search hit was third-party OutQUORUM aggregate only."
no_release_found_after_checks,medium,1886362,MGAM,"Mobile Global Esports, Inc.",2022-07-29,2023-07-29,2023-08-28,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Searched web and current issuer domain, which appears unrelated/hijacked; checked 2023 10-K, 2024 DEF 14A, and 2024/2025/2026 10-K filings; no substantive Board Diversity Matrix located. Search results did not surface primary matrix evidence."
no_release_found_after_checks,medium,1913210,,Bruush Oral Care Inc.,2022-08-03,2023-08-03,2023-09-02,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Searched web and attempted current/IR Bruush domains, which no longer resolve; checked 2023 20-F and representative 2023-2025 6-K filings from SEC submissions; no substantive Board Diversity Matrix located. Search hit was third-party OutQUORUM aggregate only."
no_release_found_after_checks,medium,1885408,NEXR,Nexera Technologies Ltd,2022-08-26,2023-08-26,2023-09-25,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Searched web and issuer/investor/governance pages; checked Jeffs Brands/Nexera 2023, 2024, 2025, and 2026 20-F filings plus SEC filing inventory. No substantive Board Diversity Matrix located; search hits were other issuers or director biographies mentioning Jeffs Brands."
no_release_found_after_checks,medium,1892480,,"Hempacco Co., Inc.",2022-08-30,2023-08-30,2023-09-29,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Searched web and current issuer site; checked Hempacco 2023 10-K, 2023 DEF 14C, 2024 10-K, 2024 DEF 14A, and 2024 DEF 14C. No substantive Board Diversity Matrix located; search hit was third-party OutQUORUM aggregate only."
no_release_found_after_checks,medium,1807887,LASE,Laser Photonics Corp,2022-09-30,2023-09-30,2023-10-30,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Searched web and issuer/governance pages; checked 2023 DEF 14A, 2024 10-K, 2024 DEF 14A, and 2025 proxy result. Issuer Board Diversity Informational Document is a general rule/background document, not a completed company matrix. No substantive Board Diversity Matrix located."
no_release_found_after_checks,medium,1884072,,Adamas One Corp.,2022-12-09,2023-12-09,2024-01-08,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",Searched web and issuer/IR domains; checked 2023 and 2024 Adamas One 10-K filings. Current issuer domain presents Cloudflare suspected-phishing warning/redirect behavior and investor subdomain does not resolve. No substantive Board Diversity Matrix located.
no_release_found_after_checks,medium,1939965,SLMT,Brera Holdings PLC,2023-01-27,2024-01-27,2024-02-26,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Searched web and issuer/investor domains; checked Brera 2023, 2024, and 2025 20-F filings. No substantive Board Diversity Matrix located; search hit was third-party OutQUORUM aggregate only."
no_release_found_after_checks,medium,1865127,,"Lucy Scientific Discovery, Inc.",2023-02-09,2024-02-09,2024-03-10,not_located,,,searched_no_substantive_matrix,,No substantive matrix located,"No Board Diversity Matrix / Total Number of Directors / Nasdaq Rule 5606 terms found in 2023 10-K, 2024-02-13 10-Q, adjacent Feb-Mar 2024 8-Ks, or Wayback captures of issuer IR/governance pages around due date.",not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Checked SEC inventory around 2024-02-09 due date: 2023-10-13 10-K, 2024-02-13 10-Q, 2024-02-23 8-K, 2024-02-27 8-K, 2024-03-12 8-K; no matrix terms. Live IR domain is repurposed/unrelated. Wayback captures of ir.lucyscientific.com homepage and governance/committee pages in Jan-Apr 2024 showed governance links but no matrix."
no_release_found_after_checks,medium,1611282,,"PishPosh, Inc.",2023-03-07,2024-03-07,2024-04-06,not_located,,,searched_no_substantive_matrix,,No substantive matrix located,No Board Diversity Matrix / Diversity Matrix / Nasdaq Rule 5606 / Total Number of Directors terms found in SEC 2023-2025 annual/quarterly/registration filings or issuer/Wayback homepage checks.,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",Checked SEC filings including 2023 and 2024 10-Ks and 2024 10-Qs/S-1 amendments; no matrix. Current and Wayback pishposhbaby.com pages show retail/investor-relations footer but no substantive matrix.
no_release_found_after_checks,medium,1875496,,"YanGuFang International Group Co., Ltd",2023-03-28,2024-03-28,2024-04-27,not_located,,,searched_no_substantive_matrix,,No substantive matrix located,No Board Diversity Matrix / Diversity Matrix / Nasdaq Rule 5606 terms found in SEC 2023-2024 6-K/20-F-related filings or issuer/Wayback homepage check.,not_found_in_current_sec_filings,,,no_company_url,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Checked SEC inventory: 2024 25-NSE delisting notice, Jan 2024 6-Ks, 2023 6-Ks, F-1/prospectus history; no matrix. Wayback January 2024 yangufang.com capture is a JavaScript shell without substantive matrix text. Web search did not locate primary matrix evidence."
no_release_found_after_checks,medium,1962481,BOF,BranchOut Food Inc.,2023-06-16,2024-06-16,2024-07-16,not_located,,,searched_no_substantive_matrix,,No substantive matrix located,"No primary Board Diversity Matrix located in SEC sweep, issuer/web search, or search results; secondary Out Leadership row reports no disclosed dimensions.",not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",SEC sweep scanned 53 relevant filings with no strong matrix terms. Web search did not locate primary BranchOut Food matrix evidence.
no_release_found_after_checks,medium,1904286,MIRA,"MIRA PHARMACEUTICALS, INC.",2023-08-03,2024-08-03,2024-09-02,not_located,,,searched_no_substantive_matrix,,No substantive matrix located,No primary Board Diversity Matrix located in SEC sweep or web search; secondary Out Leadership row reports no disclosed dimensions.,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",SEC sweep scanned 82 relevant filings with no strong matrix terms. Web search did not locate primary MIRA Pharmaceuticals matrix evidence.
no_release_found_after_checks,medium,1825367,,"RayzeBio, Inc.",2023-09-15,2024-09-15,2024-10-15,not_located,,,searched_no_substantive_matrix,,No substantive matrix located,No primary Board Diversity Matrix located in SEC sweep or web search.,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",SEC sweep scanned 6 relevant RayzeBio filings with no strong matrix terms. Web search results were unrelated to RayzeBio primary disclosure.
no_release_found_after_checks,medium,1963439,TURB,"Turbo Energy, S.A.",2023-09-22,2024-09-22,2024-10-22,not_located,,,searched_no_substantive_matrix,,No substantive matrix located,No primary Board Diversity Matrix located in SEC sweep or web search.,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",SEC sweep scanned 53 relevant Turbo Energy filings with no strong matrix terms. Web search did not locate primary matrix evidence.
no_release_found_after_checks,medium,1907108,LXEO,"Lexeo Therapeutics, Inc.",2023-11-03,2024-11-03,2024-12-03,not_located,,,searched_no_substantive_matrix,,No substantive matrix located,No primary Board Diversity Matrix located in SEC sweep or web search.,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","SEC sweep scanned 53 relevant Lexeo Therapeutics filings with no strong matrix terms. Web search results mentioning Lexeo were unrelated third-party/company references, not Lexeo matrix evidence."
no_release_found_after_checks,medium,1963685,RR,RICHTECH ROBOTICS INC.,2023-11-17,2024-11-17,2024-12-17,not_located,,,searched_no_substantive_matrix,,No substantive matrix located,No primary Board Diversity Matrix located in SEC sweep or web search; secondary Out Leadership row reports no disclosed dimensions.,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",SEC sweep scanned 42 relevant Richtech Robotics filings with no strong matrix terms. Web search did not locate primary matrix evidence.
